Campus,Course ID,CRN,Section,Title,Link,Schedule Type,Start Date,Meeting Days,Meeting Time,Building,Room,Primary Instructor Last Name,Cap
Main,GEOS7100,42423,107,Independent Research,,Independent Study,8/29/18,,,,,,1
Main,GEOS7120,40407,100,Prof Field Exper,,Supervision or Practicum,8/29/18,,,,,,1
Main,GEOS7120,40409,102,Prof Field Exper,,Supervision or Practicum,8/29/18,,,,,,1
Main,GEOS7120,40410,104,Prof Field Exper,,Supervision or Practicum,8/29/18,,,,,,1
Main,GEOS7120,40412,106,Prof Field Exper,,Supervision or Practicum,8/29/18,,,,,,1
Main,GEOS7300,40421,100,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Koretsky,1
Main,GEOS7300,40422,102,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Kaczmarek,1
Main,GEOS7300,40423,104,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Sultan,1
Main,GEOS7300,40428,106,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Sauck,1
Main,GEOS7300,40430,108,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Krishnamurthy,1
Main,GEOS7300,40431,110,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Kominz,1
Main,GEOS7350,40436,100,Graduate Research,,Independent Study,8/29/18,,,,,Sultan,1
Main,GEOS7350,40437,105,Graduate Research,,Independent Study,8/29/18,,,,,Kaczmarek,1
Main,GEOS7350,40438,110,Graduate Research,,Independent Study,8/29/18,,,,,,1
Main,GEOS7350,40439,115,Graduate Research,,Independent Study,8/29/18,,,,,,1
Main,GEOS7350,40440,120,Graduate Research,,Independent Study,8/29/18,,,,,,1
WMU - Online Education,GEOS1000,43783,950,Dynamic Earth,,Lecture/Lab/Discussion,8/29/18,,,Online - Semester Course,CLASS,Haas,250
WMU - Online Education,GEOS1050,45438,950,Dinosaurs,,Lecture,8/29/18,,,Online - Semester Course,CLASS,Voice,150
WMU - Online Education,GEOS3120,42337,950,Geol Natl Pks/Monumt,,Lecture,8/29/18,,,Online - Semester Course,CLASS,Alexander,50
WMU - Online Education,GEOS3120,42338,951,Geol Natl Pks/Monumt,,Lecture,8/29/18,,,Online - Semester Course,CLASS,Alexander,50
WMU - Online Education,GEOS3220,43220,950,Ocean Systems,,Lecture,8/29/18,,,Online - Semester Course,CLASS,Caruthers,180
WMU - Online Education,GEOS5060,44613,950,Introduction To Soils,,Lecture,8/29/18,,,Online - Semester Course,CLASS,Cassidy,30
WMU - Online Education,GEOS5090,44626,950,Surface Water Hydrology,,Lecture/Lab/Discussion,8/29/18,,,Online - Semester Course,CLASS,Hampton,30
WMU - Online Education,GEOS5140,46352,950,Isotope Hydrology,,Lecture,8/29/18,,,Online - Semester Course,CLASS,Krishnamurthy,30
WMU - Online Education,GEOS6000,44843,950,Hydrogeochemistry,,Lecture,8/29/18,,,Online - Semester Course,CLASS,Cassidy,30
Main,MATH1090,44057,100,Pre-Algebra,,Lecture,8/29/18,MWF,08:00 - 08:50,Sangren Hall,4120,Nic,30
Main,MATH1090,44058,105,Pre-Algebra,,Lecture,8/29/18,MWF,08:00 - 08:50,Sangren Hall,1310,Wilburn,30
Main,MATH1090,44060,125,Pre-Algebra,,Lecture,8/29/18,MWF,09:00 - 09:50,Sangren Hall,1310,Jones,30
Main,MATH1090,44642,127,Pre-Algebra,,Lecture,8/29/18,MWF,10:00 - 10:50,Sangren Hall,4310,Kohler,30
Main,MATH1090,40288,130,Pre-Algebra,,Lecture,8/29/18,MWF,10:00 - 10:50,Sangren Hall,4120,Nic,30
Main,MATH1090,44061,135,Pre-Algebra,,Lecture,8/29/18,MWF,10:00 - 10:50,Sangren Hall,1310,Wilburn,30
Main,MATH1090,43069,145,Pre-Algebra,,Lecture,8/29/18,MWF,11:00 - 11:50,Sangren Hall,1320,Kohler,30
Main,MATH1090,43260,150,Pre-Algebra,,Lecture,8/29/18,MWF,11:00 - 11:50,Sangren Hall,1310,Wilburn,30
Main,MATH1090,44063,155,Pre-Algebra,,Lecture,8/29/18,MWF,11:00 - 11:50,Sangren Hall,4120,Nic,30
Main,MATH1100,46470,01P,Algebra I,,Lecture,8/29/18,MTWRF,09:00 - 09:50,Rood Hall,3307,Lutz,25
Main,MATH1100,46471,02P,Algebra I,,Lecture,8/29/18,MTWRF,10:00 - 10:50,Rood Hall,3307,Lutz,25
Main,MATH1100,42622,100,Algebra I,,Lecture,8/29/18,MWF,08:00 - 08:50,Sangren Hall,3110,Talanda-Fisher,35
Main,MATH1100,41928,105,Algebra I,,Lecture,8/29/18,MWF,09:00 - 09:50,Sangren Hall,3510,Kingsley,35
Main,MATH1100,43261,106,Algebra I,,Lecture,8/29/18,MWF,09:00 - 09:50,Sangren Hall,3140,Weiss,35
Main,MATH1100,40294,107,Algebra I,,Lecture,8/29/18,TR,09:30 - 10:45,Sangren Hall,4520,Strom,35
Main,MATH1100,42059,110,Algebra I,,Lecture,8/29/18,MWF,10:00 - 10:50,Sangren Hall,3140,Kempf,35
Main,MATH1100,45327,115,Algebra I,,Lecture,8/29/18,MWF,10:00 - 10:50,Sangren Hall,3130,Witt,35
Main,MATH1100,40290,130,Algebra I,,Lecture,8/29/18,MWF,11:00 - 11:50,Sangren Hall,3130,Witt,35
Main,MATH1100,40293,140,Algebra I,,Lecture,8/29/18,TR,11:00 - 12:15,Rood Hall,3395,Cushman,35
Main,MATH1100,40291,160,Algebra I,,Lecture,8/29/18,MWF,12:00 - 12:50,Sangren Hall,3510,Talanda-Fisher,35
Main,MATH1100,40292,165,Algebra I,,Lecture,8/29/18,MWF,12:00 - 12:50,Sangren Hall,3140,Kempf,35
Main,MATH1100,42223,170,Algebra I,,Lecture,8/29/18,MWF,13:00 - 13:50,Sangren Hall,4530,Kingsley,35
Main,MATH1100,42224,175,Algebra I,,Lecture,8/29/18,MWF,13:00 - 13:50,Sangren Hall,4510,Weiss,35
Main,MATH1100,40295,195,Algebra I,,Lecture,8/29/18,TR,17:00 - 18:15,Rood Hall,3393,Stevens,35
Main,MATH1100,44696,200,Algebra I,,Lecture,8/29/18,TR,17:00 - 18:15,Rood Hall,2271,Kesler,35
Main,MATH1100,45513,205,Algebra I,,Lecture,8/29/18,TR,17:00 - 18:15,Rood Hall,3395,Lu,35
Main,MATH1100,42623,215,Algebra I,,Lecture,8/29/18,TR,18:30 - 19:45,Rood Hall,2271,Kesler,35
Main,MATH1100,45352,220,Algebra I,,Lecture,8/29/18,TR,18:30 - 19:45,Rood Hall,3395,Lu,35
Main,MATH1110,43378,100,Algebra II,,Lecture,8/29/18,MWF,08:00 - 08:50,Rood Hall,3395,Chan,35
Main,MATH1110,40297,102,Algebra II,,Lecture,8/29/18,MWF,09:00 - 09:50,Sangren Hall,3130,Shatnawi,35
Main,MATH1110,45710,104,Algebra II,,Lecture,8/29/18,MWF,09:00 - 09:50,Sangren Hall,4705,Dharwadkar,35
Main,MATH1110,40298,105,Algebra II,,Lecture,8/29/18,MWF,09:00 - 09:50,Sangren Hall,4735,Dewasurendra,35
Main,MATH1110,44064,110,Algebra II,,Lecture,8/29/18,MWF,10:00 - 10:50,Sangren Hall,3110,Dharwadkar,35
Main,MATH1110,40299,115,Algebra II,,Lecture,8/29/18,MWF,11:00 - 11:50,Sangren Hall,4705,Dewasurendra,40
Main,MATH1110,43379,125,Algebra II,,Lecture,8/29/18,MWF,12:00 - 12:50,Sangren Hall,1320,Hallas,40
Main,MATH1110,40301,130,Algebra II,,Lecture,8/29/18,TR,12:30 - 13:45,Rood Hall,2271,Bremiller,35
Main,MATH1110,42162,140,Algebra II,,Lecture,8/29/18,MWF,13:00 - 13:50,Sangren Hall,3520,Chan,35
Main,MATH1110,40300,155,Algebra II,,Lecture,8/29/18,TR,14:00 - 15:15,Sangren Hall,4725,Bremiller,35
Main,MATH1110,44201,160,Algebra II,,Lecture,8/29/18,TR,15:30 - 16:45,Rood Hall,3395,Laing,35
Main,MATH1110,42212,170,Algebra II,,Lecture,8/29/18,TR,17:00 - 18:15,Rood Hall,3391,Laing,35
Main,MATH1110,42060,190,Algebra II,,Lecture,8/29/18,TR,18:30 - 19:45,Rood Hall,3391,Laing,35
Main,MATH1140,40320,500,Excursions In Mathematics,L1,Lecture,8/29/18,MW,14:00 - 14:50,Chemistry Bldg,1720,Garza-Kling,250
Main,MATH1140,44821,545,Excursions In Mathematics,B1,Lab or Discussion,8/29/18,F,09:00 - 09:50,Rood Hall,2271,Abu Ghalyoun,25
Main,MATH1140,40337,555,Excursions In Mathematics,B1,Lab or Discussion,8/29/18,F,10:00 - 10:50,Rood Hall,2271,Abu Ghalyoun,25
Main,MATH1140,44067,566,Excursions In Mathematics,B1,Lab or Discussion,8/29/18,F,11:00 - 11:50,Rood Hall,2271,Hegedus-Wimsatt,25
Main,MATH1140,40339,570,Excursions In Mathematics,B1,Lab or Discussion,8/29/18,F,12:00 - 12:50,Rood Hall,2271,Abu Ghalyoun,25
Main,MATH1140,43526,590,Excursions In Mathematics,B1,Lab or Discussion,8/29/18,F,14:00 - 14:50,Rood Hall,2271,Hegedus-Wimsatt,25
Main,MATH1160,45230,100,Finite Math/Applic,,Lecture,8/29/18,MWF,15:00 - 15:50,Rood Hall,2271,Schreiner,40
Main,MATH1160,40348,500,Finite Math/Applic,L1,Lecture,8/29/18,MW,11:00 - 11:50,Knauss Hall,3502,Schreiner,270
Main,MATH1160,40349,540,Finite Math/Applic,B1,Lab or Discussion,8/29/18,F,08:00 - 08:50,Rood Hall,2275,Meyer,30
Main,MATH1160,44536,545,Finite Math/Applic,B1,Lab or Discussion,8/29/18,F,09:00 - 09:50,Rood Hall,2275,Meyer,30
Main,MATH1160,40350,550,Finite Math/Applic,B1,Lab or Discussion,8/29/18,F,09:00 - 09:50,Schneider Hall,1350,Vazifedan,30
Main,MATH1160,40351,555,Finite Math/Applic,B1,Lab or Discussion,8/29/18,F,10:00 - 10:50,Schneider Hall,1350,Vazifedan,30
Main,MATH1160,44070,560,Finite Math/Applic,B1,Lab or Discussion,8/29/18,F,10:00 - 10:50,Rood Hall,2275,Meyer,30
Main,MATH1160,40352,565,Finite Math/Applic,B1,Lab or Discussion,8/29/18,F,12:00 - 12:50,Rood Hall,2275,Culver,30
Main,MATH1160,44071,566,Finite Math/Applic,B1,Lab or Discussion,8/29/18,F,12:00 - 12:50,Schneider Hall,1160,Vazifedan,30
Main,MATH1160,40353,570,Finite Math/Applic,B1,Lab or Discussion,8/29/18,F,13:00 - 13:50,Rood Hall,2275,Culver,30
Main,MATH1160,41979,580,Finite Math/Applic,B1,Lab or Discussion,8/29/18,F,14:00 - 14:50,Rood Hall,2275,Culver,30
Main,MATH1160,45231,600,Finite Math/Applic,L2,Lecture,8/29/18,MW,13:00 - 13:50,Rood Hall,1104,Schreiner,180
Main,MATH1160,45232,640,Finite Math/Applic,B2,Lab or Discussion,8/29/18,F,08:00 - 08:50,Rood Hall,2271,Broe,30
Main,MATH1160,45233,645,Finite Math/Applic,B2,Lab or Discussion,8/29/18,F,09:00 - 09:50,Rood Hall,3395,Mosallam,30
Main,MATH1160,45235,655,Finite Math/Applic,B2,Lab or Discussion,8/29/18,F,10:00 - 10:50,Rood Hall,1118,Mosallam,30
Main,MATH1160,45237,665,Finite Math/Applic,B2,Lab or Discussion,8/29/18,F,12:00 - 12:50,Rood Hall,1118,Broe,30
Main,MATH1160,45239,675,Finite Math/Applic,B2,Lab or Discussion,8/29/18,F,13:00 - 13:50,Rood Hall,2271,Mosallam,30
Main,MATH1160,45240,680,Finite Math/Applic,B2,Lab or Discussion,8/29/18,F,14:00 - 14:50,Schneider Hall,1160,Broe,30
Main,MATH1180,45713,100,Precalculus Math,,Lecture,8/29/18,MTRF,08:00 - 08:50,Rood Hall,3391,Zhu,35
Main,MATH1180,45714,110,Precalculus Math,,Lecture,8/29/18,MTRF,10:00 - 10:50,Sangren Hall,4705,Garza-Kling,40
Main,MATH1180,45715,115,Precalculus Math,,Lecture,8/29/18,MTRF,11:00 - 11:50,Rood Hall,3391,Hernandez,35
Main,MATH1180,45717,125,Precalculus Math,,Lecture,8/29/18,MTRF,13:00 - 13:50,Sangren Hall,4715,Hernandez,35
Main,MATH1180,45718,130,Precalculus Math,,Lecture,8/29/18,MTRF,14:00 - 14:50,Rood Hall,1118,Pence,40
Main,MATH1180,45719,160,Precalculus Math,,Lecture,8/29/18,MTWR,18:00 - 18:50,Rood Hall,3309,Hollister,40
Main,MATH1220,42624,100,Calculus I,,Lecture,8/29/18,MTRF,08:00 - 08:50,Rood Hall,3393,Strom,40
Main,MATH1220,40633,110,Calculus I,,Lecture,8/29/18,MTRF,10:00 - 10:50,Rood Hall,3391,Mingus,35
Main,MATH1220,42163,120,Calculus I,,Lecture,8/29/18,MTRF,13:00 - 13:50,Sangren Hall,4725,Koelling,40
Main,MATH1220,43266,125,Calculus I - HC,,Lecture,8/29/18,MTRF,13:00 - 13:50,Schneider Hall,1350,Strom,25
Main,MATH1220,40634,130,Calculus I,,Lecture,8/29/18,MTRF,14:00 - 14:50,Sangren Hall,2730,Stodola,40
Main,MATH1230,42625,100,Calculus II,,Lecture,8/29/18,MTRF,08:00 - 08:50,Rood Hall,3309,Dudek,40
Main,MATH1230,43211,105,Calculus II,,Lecture,8/29/18,MTRF,09:00 - 09:50,Rood Hall,3309,Dudek,40
Main,MATH1230,41931,106,Calculus II,,Lecture,8/29/18,MTRF,10:00 - 10:50,Rood Hall,3393,Briggs,41
Main,MATH1230,40635,120,Calculus II,,Lecture,8/29/18,MTRF,13:00 - 13:50,Rood Hall,3309,Zhu,40
Main,MATH1230,43527,125,Calculus II,,Lecture,8/29/18,MTRF,14:00 - 14:50,Rood Hall,3309,Martino,40
Main,MATH1450,40636,100,Disc Math Structures,,Lecture,8/29/18,MWF,09:00 - 09:50,Sangren Hall,3110,Olejniczak,35
Main,MATH1500,45827,105,Number Concpts Elem/Mid Tchr,,Lecture,8/29/18,TR,10:00 - 11:40,Rood Hall,2271,Grant,30
Main,MATH1500,45828,125,Number Concpts Elem/Mid Tchr,,Lecture,8/29/18,TR,14:00 - 15:40,Rood Hall,2271,Grant,30
Main,MATH1510,40442,115,Geom Elem/Mid Sch Tchr,,Lecture,8/29/18,MW,14:00 - 15:40,Rood Hall,2275,Lo,30
Main,MATH1510,44089,120,Geom Elem/Mid Sch Tchr,,Lecture,8/29/18,TR,14:00 - 15:40,Rood Hall,2275,Strom,30
Main,MATH1700,41392,100,Calculus I, Sci & Engineering,Lecture,8/29/18,MTRF,09:00 - 09:50,Rood Hall,3393,Bennett,40
Main,MATH1700,41402,105,Calculus I, Sci & Engineering,Lecture,8/29/18,MTRF,14:00 - 14:50,Rood Hall,3391,Ealy,35
