Campus,Course ID,CRN,Section,Title,Link,Schedule Type,Start Date,Meeting Days,Meeting Time,Building,Room,Primary Instructor Last Name,Cap
Main,ME2615,43270,100,Intro to Mech Engineering,,Lecture,8/29/18,MW,16:00 - 17:20,Elson S. Floyd Hall,D0204,Ari-Gur,35
Main,ME2615,45902,110,Intro to Mech Engineering,,Lecture,8/29/18,MWF,08:30 - 09:20,Elson S. Floyd Hall,D0201,Cavalli,40
Main,ME3350,42914,500,Instrumentation,L1,Lecture,8/29/18,MW,11:30 - 12:20,Elson S. Floyd Hall,D0204,Ghantasala,60
Main,ME3350,42915,540,Instrumentation,B1,Lab or Discussion,8/29/18,F,14:30 - 17:20,Elson S. Floyd Hall,F0206,Ghantasala,24
Main,ME3350,42916,545,Instrumentation,B1,Lab or Discussion,8/29/18,R,09:30 - 12:20,Elson S. Floyd Hall,F0206,Ghantasala,24
Main,ME3350,43798,550,Instrumentation,B1,Lab or Discussion,8/29/18,R,13:00 - 15:50,Elson S. Floyd Hall,F0206,Ghantasala,24
Main,ME3560,40827,100,Fluid Mechanics,,Lecture,8/29/18,TR,14:00 - 15:15,Elson S. Floyd Hall,D0208,Merati,44
Main,ME3560,43450,105,Fluid Mechanics,,Lecture,8/29/18,MW,12:30 - 13:45,Elson S. Floyd Hall,D0201,Montefort Sanchez,35
Main,ME3580,40828,100,Mechanism Analysis,,Lecture,8/29/18,TR,17:30 - 18:45,Elson S. Floyd Hall,D0208,Asher,50
Main,ME3600,40829,100,Control Systems,,Lecture,8/29/18,MWF,13:30 - 14:20,Elson S. Floyd Hall,D0115,Hudson,60
Main,ME3620,40830,100,Theory Of Eng Exper,,Lecture,8/29/18,MWF,10:30 - 11:20,Elson S. Floyd Hall,D0115,Cho,60
Main,ME3650,40848,500,Machine Design I,L1,Lecture,8/29/18,MF,10:30 - 11:20,Elson S. Floyd Hall,D0204,Meyer,50
Main,ME3650,40867,540,Machine Design I,B1,Lab or Discussion,8/29/18,M,12:30 - 15:15,Elson S. Floyd Hall,C0229,Meyer,28
Main,ME3650,40868,545,Machine Design I,B1,Lab or Discussion,8/29/18,F,12:30 - 15:15,Elson S. Floyd Hall,C0229,Meyer,28
Main,ME3650,45421,550,Machine Design I,B1,Lab or Discussion,8/29/18,F,15:30 - 18:15,Elson S. Floyd Hall,C0229,Meyer,20
Main,ME3670,42081,500,Internal Combustion Engines I,L1,Lecture,8/29/18,TR,09:00 - 09:45,Elson S. Floyd Hall,D0208,MacDonald,30
Main,ME3670,40869,540,Internal Combustion Engines I,B1,Lab or Discussion,8/29/18,T,10:30 - 13:20,Elson S. Floyd Hall,D0208,MacDonald,15
Main,ME3670,40870,550,Internal Combustion Engines I,B1,Lab or Discussion,8/29/18,R,10:30 - 13:20,Elson S. Floyd Hall,D0208,MacDonald,15
Main,ME3990,42397,100,Cooperative Education,,Supervision or Practicum,8/29/18,,,,,Naghshineh,6
Main,ME4310,40835,100,Heat Transfer,,Lecture,8/29/18,TR,11:30 - 12:45,Elson S. Floyd Hall,C0136,Lemmer,41
Main,ME4320,40836,100,Thermodynamics II,,Lecture,8/29/18,MWF,08:30 - 09:20,Elson S. Floyd Hall,D0115,Cho,80
Main,ME4330,45277,100,Envr Sys Design Bldg,,Lecture,8/29/18,MW,17:30 - 18:45,Elson S. Floyd Hall,C0141,Lee,25
Main,ME4390,40849,500,Design Of Thermal Systems,L1,Lecture,8/29/18,MW,16:30 - 17:20,Elson S. Floyd Hall,D0202,Lee,36
Main,ME4390,40873,540,Design Of Thermal Systems,B1,Lab or Discussion,8/29/18,T,14:30 - 17:20,Elson S. Floyd Hall,C0227,Lee,18
Main,ME4390,40874,545,Design Of Thermal Systems,B1,Lab or Discussion,8/29/18,R,14:30 - 17:20,Elson S. Floyd Hall,C0227,Lee,18
Main,ME4530,46147,100,Machine Design II,,Lecture/Lab/Discussion,8/29/18,F,15:30 - 18:20,Elson S. Floyd Hall,C0224,Ari-Gur,24
Main,ME4530,46147,100,Machine Design II,,Lecture/Lab/Discussion,8/29/18,MF,14:30 - 15:20,Elson S. Floyd Hall,D0206,Ari-Gur,24
Main,ME4570,41625,500,Experimental Solid Mechanics,L1,Lecture,8/29/18,MW,13:30 - 14:20,Elson S. Floyd Hall,C0123,Kujawski,36
Main,ME4570,41627,540,Experimental Solid Mechanics,B1,Lab or Discussion,8/29/18,T,10:00 - 12:50,Elson S. Floyd Hall,C0123,Kujawski,12
Main,ME4570,41626,550,Experimental Solid Mechanics,B1,Lab or Discussion,8/29/18,R,10:00 - 12:50,Elson S. Floyd Hall,C0123,Kujawski,12
Main,ME4570,46263,560,Experimental Solid Mechanics,B1,Lab or Discussion,8/29/18,M,16:00 - 18:50,Elson S. Floyd Hall,F0115,Kujawski,12
Main,ME4700,43112,100,Vehicle Structural Design,,Lecture,8/29/18,MW,09:30 - 10:45,Elson S. Floyd Hall,D0202,Hathaway,35
Main,ME4790,42764,100,Mech/Aerospace Proj Planning,,Lecture,8/29/18,T,13:30 - 14:20,Elson S. Floyd Hall,D0109,Shrestha,83
Main,ME4800,40831,100,Mech/Aerospace Engr Proj,,Lecture/Lab/Discussion,8/29/18,M,11:30 - 12:20,Elson S. Floyd Hall,D0208,Shrestha,40
Main,ME4950,46788,100,Materials Science-Engineers,,Seminar or Studio,8/29/18,,,,,,3
Main,ME4990,40841,100,Independent Studies,,Independent Study,8/29/18,,,,,Naghshineh,5
Main,ME4990,42217,110,Independent Studies,,Independent Study,8/29/18,,,,,Naghshineh,6
Main,ME5390,44094,100,Advanced Thermal Design,,Lecture,8/29/18,R,19:00 - 21:30,Elson S. Floyd Hall,D0206,Lee,20
Main,ME5500,46225,100,Modern Engineered Materials,,Lecture,8/29/18,T,16:00 - 18:50,Elson S. Floyd Hall,F0115,Ari-Gur,20
Main,ME5530,45903,100,Adv Product Enginerg,,Lecture,8/29/18,W,16:00 - 18:50,Elson S. Floyd Hall,C0122,Vukorpa,20
Main,ME5580,46114,100,Mechanical Vibration,,Lecture,8/29/18,R,16:00 - 18:50,Elson S. Floyd Hall,D0206,Naghshineh,20
Main,ME5690,46224,100,Fatigue & Fracture,,Lecture,8/29/18,R,16:00 - 18:20,Elson S. Floyd Hall,F0115,Kujawski,20
Main,ME5950,44866,100,Intro Analy of Elast Plts,,Lecture,8/29/18,W,19:00 - 21:20,Elson S. Floyd Hall,D0206,Kim,10
Main,ME5950,46149,105,Advanced Control Systems,,Lecture,8/29/18,T,19:00 - 21:20,Elson S. Floyd Hall,D0204,Ro,10
Main,ME5990,42398,100,Practical Training,,Supervision or Practicum,8/29/18,,,,,Ghantasala,6
Main,ME6330,46148,100,Adv Control Systems,,Lecture,8/29/18,T,19:00 - 21:20,Elson S. Floyd Hall,D0204,Ro,10
Main,ME6350,46113,100,Introduction To Turbulence,,Lecture,8/29/18,T,16:00 - 18:50,Elson S. Floyd Hall,C0124,Liou,20
Main,ME6360,46327,100,App Optics & System Design,,Lecture,8/29/18,M,18:30 - 21:10,Elson S. Floyd Hall,C0122,Litynski,25
